Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
9.186753,asdf,1,10,1,0,1.59,0
9.188972,asdf,1,10,1,0,1.59,0
9.191051,asdf,1,10,1,0,1.59,0
9.193134,asdf,1,10,1,0,1.59,0
9.195274,asdf,1,10,1,0,1.59,0
9.197412,asdf,1,10,1,0,1.59,0
9.199549,asdf,1,10,1,0,1.59,0
9.20161,asdf,1,10,1,0,1.59,0
9.20401,asdf,1,10,1,0,1.59,0
9.205985,asdf,1,10,1,0,1.59,0
9.208154,asdf,1,10,1,0,1.59,0
9.210182,asdf,1,10,1,0,1.59,0
9.212186,asdf,1,10,1,0,1.59,0
9.21421,asdf,1,10,1,0,1.59,0
9.21623,asdf,1,10,1,0,1.59,0
9.21828,asdf,1,10,1,0,1.59,0
9.220288,asdf,1,10,1,0,1.59,0
9.22265,asdf,1,10,1,0,1.59,0
9.22474,asdf,1,10,1,0,1.59,0
9.226704,asdf,1,10,1,0,1.59,0
9.22882,asdf,1,10,1,0,1.59,0
9.231003,asdf,1,10,1,0,1.59,0
9.23315,asdf,1,10,1,0,1.59,0
9.235211,asdf,1,10,1,0,1.59,0
9.237289,asdf,1,10,1,0,1.59,0
9.239358,asdf,1,10,1,0,1.59,0
9.241389,asdf,1,10,1,0,1.59,0
9.243706,asdf,1,10,1,0,1.59,0
9.245852,asdf,1,10,1,0,1.59,0
9.247976,asdf,1,10,1,0,1.59,0
9.249993,asdf,1,10,1,0,1.59,0
9.252017,asdf,1,10,1,0,1.59,0
9.254001,asdf,1,10,1,0,1.59,0
9.256002,asdf,1,10,1,0,1.59,0
9.258157,asdf,1,10,1,0,1.59,0
9.26023,asdf,1,10,1,0,1.59,0
9.262624,asdf,1,10,1,0,1.59,0
9.264874,asdf,1,10,1,0,1.59,0
9.267289,asdf,1,10,1,0,1.59,0
9.269393,asdf,1,10,1,0,1.59,0
9.271477,asdf,1,10,1,0,1.59,0
9.273527,asdf,1,10,1,0,1.59,0
9.275661,asdf,1,10,1,0,1.59,0
9.277774,asdf,1,10,1,0,1.59,0
9.279803,asdf,1,10,1,0,1.59,0
9.281933,asdf,1,10,1,0,1.59,0
9.284421,asdf,1,10,1,0,1.59,0
9.286568,asdf,1,10,1,0,1.59,0
9.288735,asdf,1,10,1,0,1.59,0
9.290895,asdf,1,10,1,0,1.59,0
9.293075,asdf,1,10,1,0,1.59,0
9.295221,asdf,1,10,1,0,1.59,0
9.297328,asdf,1,10,1,0,1.59,0
9.299372,asdf,1,10,1,0,1.59,0
9.301407,asdf,1,10,1,0,1.59,0
9.303716,asdf,1,10,1,0,1.59,0
9.30573,asdf,1,10,1,0,1.59,0
9.307743,asdf,1,10,1,0,1.59,0
9.30974,asdf,1,10,1,0,1.59,0
9.311766,asdf,1,10,1,0,1.59,0
9.313829,asdf,1,10,1,0,1.59,0
9.315796,asdf,1,10,1,0,1.59,0
9.317711,asdf,1,10,1,0,1.59,0
9.319688,asdf,1,10,1,0,1.59,0
9.321754,asdf,1,10,1,0,1.59,0
9.324162,asdf,1,10,1,0,1.59,0
9.326188,asdf,1,10,1,0,1.59,0
9.328144,asdf,1,10,1,0,1.59,0
9.330146,asdf,1,10,1,0,1.59,0
9.332166,asdf,1,10,1,0,1.59,0
9.334207,asdf,1,10,1,0,1.59,0
9.336245,asdf,1,10,1,0,1.59,0
9.338272,asdf,1,10,1,0,1.59,0
9.340311,asdf,1,10,1,0,1.59,0
9.342681,asdf,1,10,1,0,1.59,0
9.344811,asdf,1,10,1,0,1.59,0
9.34694,asdf,1,10,1,0,1.59,0
9.34898,asdf,1,10,1,0,1.59,0
9.351047,asdf,1,10,1,0,1.59,0
9.352978,asdf,1,10,1,0,1.59,0
9.355084,asdf,1,10,1,0,1.59,0
9.357119,asdf,1,10,1,0,1.59,0
9.359056,asdf,1,10,1,0,1.59,0
9.361058,asdf,1,10,1,0,1.59,0
9.363408,asdf,1,10,1,0,1.59,0
9.365476,asdf,1,10,1,0,1.59,0
9.367575,asdf,1,10,1,0,1.59,0
9.369628,asdf,1,10,1,0,1.59,0
9.371756,asdf,1,10,1,0,1.59,0
9.373928,asdf,1,10,1,0,1.59,0
9.376038,asdf,1,10,1,0,1.59,0
9.378159,asdf,1,10,1,0,1.59,0
9.380197,asdf,1,10,1,0,1.59,0
9.382592,asdf,1,10,1,0,1.59,0
9.384741,asdf,1,10,1,0,1.59,0
9.386889,asdf,1,10,1,0,1.59,0
9.388977,asdf,1,10,1,0,1.59,0
9.390999,asdf,1,10,1,0,1.59,0
9.393117,asdf,1,10,1,0,1.59,0
9.39517,asdf,1,10,1,0,1.59,0
9.397367,asdf,1,10,1,0,1.59,0
9.399446,asdf,1,10,1,0,1.59,0
9.401432,asdf,1,10,1,0,1.59,0
9.403828,asdf,1,10,1,0,1.59,0
9.405886,asdf,1,10,1,0,1.59,0
9.407995,asdf,1,10,1,0,1.59,0
9.410002,asdf,1,10,1,0,1.59,0
9.412062,asdf,1,10,1,0,1.59,0
9.414137,asdf,1,10,1,0,1.59,0
9.416218,asdf,1,10,1,0,1.59,0
9.418452,asdf,1,10,1,0,1.59,0
9.420741,asdf,1,10,1,0,1.59,0
9.423283,asdf,1,10,1,0,1.59,0
9.425451,asdf,1,10,1,0,1.59,0
9.427594,asdf,1,10,1,0,1.59,0
9.429793,asdf,1,10,1,0,1.59,0
9.431957,asdf,1,10,1,0,1.59,0
9.434093,asdf,1,10,1,0,1.59,0
9.436152,asdf,1,10,1,0,1.59,0
9.438214,asdf,1,10,1,0,1.59,0
9.440355,asdf,1,10,1,0,1.59,0
9.442719,asdf,1,10,1,0,1.59,0
9.444733,asdf,1,10,1,0,1.59,0
9.44682,asdf,1,10,1,0,1.59,0
9.448936,asdf,1,10,1,0,1.59,0
9.451007,asdf,1,10,1,0,1.59,0
9.452993,asdf,1,10,1,0,1.59,0
9.455006,asdf,1,10,1,0,1.59,0
9.456991,asdf,1,10,1,0,1.59,0
9.459024,asdf,1,10,1,0,1.59,0
9.461075,asdf,1,10,1,0,1.59,0
9.463414,asdf,1,10,1,0,1.59,0
9.465514,asdf,1,10,1,0,1.59,0
9.467536,asdf,1,10,1,0,1.59,0
9.469498,asdf,1,10,1,0,1.59,0
9.471549,asdf,1,10,1,0,1.59,0
9.473553,asdf,1,10,1,0,1.59,0
9.475545,asdf,1,10,1,0,1.59,0
9.477567,asdf,1,10,1,0,1.59,0
9.47957,asdf,1,10,1,0,1.59,0
9.481535,asdf,1,10,1,0,1.59,0
9.483848,asdf,1,10,1,0,1.59,0
9.485846,asdf,1,10,1,0,1.59,0
9.487918,asdf,1,10,1,0,1.59,0
9.489941,asdf,1,10,1,0,1.59,0
9.491998,asdf,1,10,1,0,1.59,0
9.494123,asdf,1,10,1,0,1.59,0
9.496142,asdf,1,10,1,0,1.59,0
9.49823,asdf,1,10,1,0,1.59,0
9.500246,asdf,1,10,1,0,1.59,0
9.502602,asdf,1,10,1,0,1.59,0
9.504639,asdf,1,10,1,0,1.59,0
9.50663,asdf,1,10,1,0,1.59,0
9.508863,asdf,1,10,1,0,1.59,0
9.511047,asdf,1,10,1,0,1.59,0
9.513256,asdf,1,10,1,0,1.59,0
9.515356,asdf,1,10,1,0,1.59,0
9.517324,asdf,1,10,1,0,1.59,0
9.519339,asdf,1,10,1,0,1.59,0
9.521247,asdf,1,10,1,0,1.59,0
9.52361,asdf,1,10,1,0,1.59,0
9.525715,asdf,1,10,1,0,1.59,0
9.527739,asdf,1,10,1,0,1.59,0
9.529734,asdf,1,10,1,0,1.59,0
9.531776,asdf,1,10,1,0,1.59,0
9.533781,asdf,1,10,1,0,1.59,0
9.535932,asdf,1,10,1,0,1.59,0
9.538047,asdf,1,10,1,0,1.59,0
9.540322,asdf,1,10,1,0,1.59,0
