Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
29.2726,6,1,1,0.5259701,1.898733,-1.058061
29.28367,6,1,1,0.5261883,1.89873,-1.058054
29.29473,6,1,1,0.5263007,1.89891,-1.05784
29.30593,6,1,1,0.5263374,1.899109,-1.057647
29.31695,6,1,1,0.5263013,1.899356,-1.0575
29.32804,6,1,1,0.5263249,1.899587,-1.057364
29.33956,6,1,1,0.5263557,1.899852,-1.05721
29.35034,6,1,1,0.5263987,1.900028,-1.057243
29.36168,6,1,1,0.5264277,1.900294,-1.057357
29.37278,6,1,1,0.5265201,1.900643,-1.057509
29.38365,6,1,1,0.5264429,1.900871,-1.05787
29.39469,6,1,1,0.5263865,1.901108,-1.058149
29.40575,6,1,1,0.5264051,1.90138,-1.058708
29.41681,6,1,1,0.5260876,1.90161,-1.059239
29.42815,6,1,1,0.5259557,1.901838,-1.059549
29.43923,6,1,1,0.5256219,1.902031,-1.060089
29.45018,6,1,1,0.5253395,1.902227,-1.060874
29.46137,6,1,1,0.5251019,1.90244,-1.061605
29.47249,6,1,1,0.5247612,1.902623,-1.062345
29.4835,6,1,1,0.5244161,1.902722,-1.063164
29.49486,6,1,1,0.5240953,1.902781,-1.063973
29.50585,6,1,1,0.5237306,1.902838,-1.064681
29.51691,6,1,1,0.5233136,1.902896,-1.065582
29.52798,6,1,1,0.5230496,1.902851,-1.066458
29.53925,6,1,1,0.5228145,1.902726,-1.067426
29.55022,6,1,1,0.5224878,1.902643,-1.068492
29.56151,6,1,1,0.5223362,1.902438,-1.069548
29.57239,6,1,1,0.5221927,1.902157,-1.070561
29.58351,6,1,1,0.5220518,1.901876,-1.071661
29.59461,6,1,1,0.5220339,1.901536,-1.072708
29.60572,6,1,1,0.5221579,1.901236,-1.073721
29.61679,6,1,1,0.5221746,1.900862,-1.074733
29.62791,6,1,1,0.5222757,1.900415,-1.075603
29.63951,6,1,1,0.5224836,1.899963,-1.076486
29.65009,6,1,1,0.5226445,1.899523,-1.077287
29.66138,6,1,1,0.5229241,1.899002,-1.078029
29.67238,6,1,1,0.5232887,1.898458,-1.078574
29.68338,6,1,1,0.5237211,1.897834,-1.079177
29.69459,6,1,1,0.5241978,1.897192,-1.079739
29.70561,6,1,1,0.5247438,1.89649,-1.080312
29.71673,6,1,1,0.5253168,1.89582,-1.08086
29.728,6,1,1,0.5260217,1.895014,-1.081279
29.73909,6,1,1,0.5266665,1.894208,-1.081665
29.75018,6,1,1,0.5273495,1.893421,-1.082077
29.76123,6,1,1,0.5280374,1.892622,-1.082497
29.77244,6,1,1,0.5287638,1.891853,-1.082818
29.78346,6,1,1,0.5294201,1.891016,-1.08305
29.79463,6,1,1,0.5300498,1.890175,-1.083171
29.80563,6,1,1,0.5306084,1.889358,-1.083272
29.82167,6,1,1,0.5312114,1.888475,-1.083311
29.82784,6,1,1,0.5317047,1.887702,-1.083279
29.83899,6,1,1,0.5320655,1.886918,-1.083154
29.85019,6,1,1,0.5324366,1.886218,-1.083087
29.86125,6,1,1,0.5327399,1.885572,-1.083067
29.87238,6,1,1,0.53286,1.884911,-1.082904
29.88347,6,1,1,0.5331223,1.884318,-1.082758
29.89449,6,1,1,0.5332929,1.883793,-1.082433
29.90554,6,1,1,0.5333295,1.883357,-1.082259
29.91662,6,1,1,0.5333816,1.882981,-1.082109
29.92776,6,1,1,0.533374,1.882669,-1.081874
29.93904,6,1,1,0.5332685,1.882336,-1.081799
29.95024,6,1,1,0.5330975,1.882097,-1.081652
29.96132,6,1,1,0.5329309,1.88188,-1.081511
29.97232,6,1,1,0.5326288,1.881629,-1.081335
29.98378,6,1,1,0.5323913,1.881453,-1.081171
29.99465,6,1,1,0.5321187,1.881282,-1.080952
