Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
14.14364,testing,1,1,1,0,1.59,0
14.14578,testing,1,1,1,0,1.59,0
14.14788,testing,1,1,1,0,1.59,0
14.14996,testing,1,1,1,0,1.59,0
14.15203,testing,1,1,1,0,1.59,0
14.15408,testing,1,1,1,0,1.59,0
14.15623,testing,1,1,1,0,1.59,0
14.15831,testing,1,1,1,0,1.59,0
14.16041,testing,1,1,1,0,1.59,0
14.16283,testing,1,1,1,0,1.59,0
14.16492,testing,1,1,1,0,1.59,0
14.16704,testing,1,1,1,0,1.59,0
14.16911,testing,1,1,1,0,1.59,0
14.1712,testing,1,1,1,0,1.59,0
14.17332,testing,1,1,1,0,1.59,0
14.17544,testing,1,1,1,0,1.59,0
14.17751,testing,1,1,1,0,1.59,0
14.1796,testing,1,1,1,0,1.59,0
14.18167,testing,1,1,1,0,1.59,0
14.18404,testing,1,1,1,0,1.59,0
14.18618,testing,1,1,1,0,1.59,0
14.18829,testing,1,1,1,0,1.59,0
14.19035,testing,1,1,1,0,1.59,0
14.19235,testing,1,1,1,0,1.59,0
14.19455,testing,1,1,1,0,1.59,0
14.19662,testing,1,1,1,0,1.59,0
14.19871,testing,1,1,1,0,1.59,0
14.20079,testing,1,1,1,0,1.59,0
14.20313,testing,1,1,1,0,1.59,0
14.2052,testing,1,1,1,0,1.59,0
14.20728,testing,1,1,1,0,1.59,0
14.20943,testing,1,1,1,0,1.59,0
14.21154,testing,1,1,1,0,1.59,0
14.21362,testing,1,1,1,0,1.59,0
14.21571,testing,1,1,1,0,1.59,0
14.21782,testing,1,1,1,0,1.59,0
14.21994,testing,1,1,1,0,1.59,0
14.22202,testing,1,1,1,0,1.59,0
14.2244,testing,1,1,1,0,1.59,0
14.2265,testing,1,1,1,0,1.59,0
14.22859,testing,1,1,1,0,1.59,0
14.2307,testing,1,1,1,0,1.59,0
14.23279,testing,1,1,1,0,1.59,0
14.23499,testing,1,1,1,0,1.59,0
14.23714,testing,1,1,1,0,1.59,0
14.2393,testing,1,1,1,0,1.59,0
14.24149,testing,1,1,1,0,1.59,0
14.24395,testing,1,1,1,0,1.59,0
14.24611,testing,1,1,1,0,1.59,0
14.24827,testing,1,1,1,0,1.59,0
14.25043,testing,1,1,1,0,1.59,0
14.25273,testing,1,1,1,0,1.59,0
14.25482,testing,1,1,1,0,1.59,0
14.25688,testing,1,1,1,0,1.59,0
14.25897,testing,1,1,1,0,1.59,0
14.26109,testing,1,1,1,0,1.59,0
14.26353,testing,1,1,1,0,1.59,0
14.26564,testing,1,1,1,0,1.59,0
14.26774,testing,1,1,1,0,1.59,0
14.26983,testing,1,1,1,0,1.59,0
14.27194,testing,1,1,1,0,1.59,0
14.27407,testing,1,1,1,0,1.59,0
14.27626,testing,1,1,1,0,1.59,0
14.27843,testing,1,1,1,0,1.59,0
14.28054,testing,1,1,1,0,1.59,0
14.28294,testing,1,1,1,0,1.59,0
14.2851,testing,1,1,1,0,1.59,0
14.28722,testing,1,1,1,0,1.59,0
14.28933,testing,1,1,1,0,1.59,0
14.2914,testing,1,1,1,0,1.59,0
14.29353,testing,1,1,1,0,1.59,0
14.29588,testing,1,1,1,0,1.59,0
14.298,testing,1,1,1,0,1.59,0
14.3001,testing,1,1,1,0,1.59,0
14.30311,testing,1,1,1,0,1.59,0
14.30523,testing,1,1,1,0,1.59,0
14.30737,testing,1,1,1,0,1.59,0
14.3095,testing,1,1,1,0,1.59,0
14.31172,testing,1,1,1,0,1.59,0
14.31393,testing,1,1,1,0,1.59,0
14.31606,testing,1,1,1,0,1.59,0
14.31821,testing,1,1,1,0,1.59,0
14.32041,testing,1,1,1,0,1.59,0
14.32287,testing,1,1,1,0,1.59,0
14.32497,testing,1,1,1,0,1.59,0
