Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
139.0607,2,1,1,0.1038796,1.516456,0.1032217
139.0719,2,1,1,0.1037001,1.516407,0.1031504
139.0829,2,1,1,0.1034837,1.51635,0.1030335
139.0941,2,1,1,0.1033403,1.516366,0.1029561
139.105,2,1,1,0.103214,1.516344,0.1028512
139.1162,2,1,1,0.103102,1.516376,0.1027153
139.1274,2,1,1,0.1030432,1.516403,0.1024921
139.1385,2,1,1,0.1029397,1.516439,0.1023693
139.1497,2,1,1,0.1028658,1.516448,0.1022015
139.1608,2,1,1,0.1027969,1.516465,0.102144
139.1722,2,1,1,0.1026117,1.516401,0.1020203
139.1833,2,1,1,0.1024804,1.516385,0.1018288
139.1945,2,1,1,0.102271,1.516368,0.1017094
139.2059,2,1,1,0.1021302,1.516265,0.1015193
139.2166,2,1,1,0.1019408,1.516177,0.1013818
139.2278,2,1,1,0.1018895,1.516151,0.1012659
139.2389,2,1,1,0.1017472,1.516088,0.1010711
139.2499,2,1,1,0.1014863,1.515983,0.1009436
139.2613,2,1,1,0.1011835,1.515903,0.1008339
139.2721,2,1,1,0.1009122,1.515888,0.1006799
139.2832,2,1,1,0.1007047,1.515893,0.1005089
139.2943,2,1,1,0.1004536,1.515889,0.1003535
139.3053,2,1,1,0.1002422,1.515911,0.1000967
139.3165,2,1,1,0.1000261,1.51599,0.09998989
139.3276,2,1,1,0.09981336,1.516042,0.09980345
139.3387,2,1,1,0.09954502,1.516064,0.09961486
139.3498,2,1,1,0.09932007,1.516089,0.09945059
139.3613,2,1,1,0.0990112,1.516143,0.09939218
139.3719,2,1,1,0.0988685,1.516186,0.0992167
139.3832,2,1,1,0.09858777,1.516203,0.09907341
139.3944,2,1,1,0.09841253,1.516263,0.09894776
139.4058,2,1,1,0.09815218,1.516246,0.09876728
139.4172,2,1,1,0.09791113,1.516241,0.09859133
139.4283,2,1,1,0.09766354,1.516192,0.09839272
139.4395,2,1,1,0.09739687,1.516155,0.09823298
139.4509,2,1,1,0.09717776,1.516125,0.09809709
139.462,2,1,1,0.09689535,1.516061,0.09793854
139.4732,2,1,1,0.09660591,1.516064,0.09779882
139.4842,2,1,1,0.09636904,1.516008,0.09755254
139.4953,2,1,1,0.0961739,1.515991,0.09733891
139.5065,2,1,1,0.09594394,1.515991,0.09723067
139.5175,2,1,1,0.09576155,1.51591,0.09703827
139.5283,2,1,1,0.09555997,1.5159,0.09686637
139.5394,2,1,1,0.09537055,1.515886,0.09667802
139.5504,2,1,1,0.09516229,1.515925,0.09650588
139.5614,2,1,1,0.09498574,1.515962,0.09627891
139.5727,2,1,1,0.09475912,1.515931,0.09601402
139.5839,2,1,1,0.09448554,1.515992,0.09582567
139.5951,2,1,1,0.09433974,1.51605,0.09562755
139.6063,2,1,1,0.0941868,1.516124,0.09541035
139.6174,2,1,1,0.09405996,1.516273,0.09521914
139.6286,2,1,1,0.09389259,1.516383,0.09499431
139.6397,2,1,1,0.09378447,1.516418,0.09480214
139.6509,2,1,1,0.09369255,1.516464,0.09461284
139.662,2,1,1,0.09357966,1.516486,0.09431458
139.6731,2,1,1,0.09352649,1.516528,0.09413267
139.684,2,1,1,0.09342242,1.516558,0.09398008
139.6951,2,1,1,0.09331263,1.516562,0.09384657
139.7061,2,1,1,0.09325027,1.516575,0.09369469
139.7172,2,1,1,0.09324515,1.516448,0.09354783
139.7284,2,1,1,0.09319544,1.516517,0.09361196
139.7394,2,1,1,0.09310639,1.516461,0.09352637
139.7508,2,1,1,0.09302735,1.51639,0.09339143
139.7617,2,1,1,0.09301496,1.516278,0.09328962
139.7728,2,1,1,0.09289742,1.51625,0.09330822
139.784,2,1,1,0.09284794,1.516185,0.09317995
139.795,2,1,1,0.09278107,1.516135,0.09309531
139.8063,2,1,1,0.09272182,1.516086,0.09302355
139.8174,2,1,1,0.09274578,1.516061,0.09289289
139.8288,2,1,1,0.09268117,1.516011,0.09283353
139.8396,2,1,1,0.09263694,1.516036,0.09279991
139.8511,2,1,1,0.09254336,1.516076,0.09278489
139.8618,2,1,1,0.09248233,1.516082,0.09277631
139.8728,2,1,1,0.09251237,1.516137,0.09275604
139.8839,2,1,1,0.09254622,1.516188,0.0928259
139.8951,2,1,1,0.09253383,1.516242,0.09284402
139.906,2,1,1,0.0925889,1.516358,0.0928712
139.917,2,1,1,0.09265828,1.516444,0.09288741
139.9281,2,1,1,0.09266555,1.516472,0.09291507
139.9393,2,1,1,0.09272861,1.516503,0.09288932
139.9502,2,1,1,0.09271085,1.516504,0.09295965
139.9612,2,1,1,0.09270942,1.516514,0.09299827
139.9723,2,1,1,0.09271431,1.516533,0.09307791
139.9836,2,1,1,0.09283245,1.516472,0.09309126
139.9947,2,1,1,0.09289873,1.516506,0.09325219
140.0059,2,1,1,0.09291184,1.516487,0.09334732
140.0176,2,1,1,0.09298384,1.516472,0.09341431
140.0283,2,1,1,0.09299886,1.516448,0.09350491
140.0394,2,1,1,0.09307909,1.51638,0.09345294
140.0506,2,1,1,0.09311819,1.516361,0.09352876
140.0618,2,1,1,0.09317672,1.516391,0.09365035
140.0732,2,1,1,0.09327173,1.516354,0.09361697
140.0842,2,1,1,0.09328854,1.516325,0.09370518
140.0957,2,1,1,0.09337998,1.516324,0.09376407
140.1066,2,1,1,0.09345485,1.516295,0.09387685
140.1177,2,1,1,0.09349824,1.516328,0.09394933
140.1289,2,1,1,0.09359301,1.516372,0.09398485
140.14,2,1,1,0.09359551,1.516387,0.09405518
140.1509,2,1,1,0.09370542,1.516395,0.09409023
140.162,2,1,1,0.09374846,1.516437,0.09415818
140.1731,2,1,1,0.09378947,1.516448,0.094244
140.1839,2,1,1,0.09387495,1.516571,0.09434748
140.1951,2,1,1,0.0939094,1.516716,0.09444571
140.2061,2,1,1,0.09410657,1.516948,0.09451032
140.2171,2,1,1,0.09419598,1.517202,0.09458137
140.2281,2,1,1,0.09425761,1.517497,0.09468222
140.2393,2,1,1,0.09424867,1.517765,0.09476018
140.2511,2,1,1,0.09420373,1.518031,0.09484887
140.2614,2,1,1,0.0941949,1.518268,0.09488916
140.2724,2,1,1,0.09413339,1.518441,0.09490442
140.2838,2,1,1,0.09405734,1.518626,0.09490848
140.295,2,1,1,0.09399249,1.518815,0.0949316
140.3064,2,1,1,0.09400846,1.518993,0.09495044
140.3171,2,1,1,0.09392871,1.519065,0.09494233
140.3284,2,1,1,0.09392573,1.519144,0.09487629
140.3394,2,1,1,0.09386958,1.519156,0.09484792
140.3507,2,1,1,0.0937884,1.51917,0.09484339
140.3618,2,1,1,0.09370554,1.519136,0.09485794
140.3728,2,1,1,0.09360529,1.519087,0.09485555
140.384,2,1,1,0.09356952,1.519039,0.09477902
140.3951,2,1,1,0.09346987,1.519011,0.09486676
140.4062,2,1,1,0.09356285,1.5189,0.09480716
140.4171,2,1,1,0.09351266,1.51883,0.09480096
140.4282,2,1,1,0.09347165,1.518786,0.0948031
140.4393,2,1,1,0.09346391,1.518734,0.09481526
140.4506,2,1,1,0.09343637,1.518693,0.09481693
140.4615,2,1,1,0.09341634,1.51863,0.09480572
140.4723,2,1,1,0.09338892,1.518586,0.09481478
140.4834,2,1,1,0.09338213,1.518574,0.09475446
140.4945,2,1,1,0.09333921,1.518534,0.09471155
140.5058,2,1,1,0.09338618,1.518446,0.09468675
140.5169,2,1,1,0.09335542,1.518446,0.09469128
140.5281,2,1,1,0.09334577,1.518459,0.09464145
140.5395,2,1,1,0.09344519,1.518415,0.09459306
140.5503,2,1,1,0.09352494,1.518377,0.09458638
140.5616,2,1,1,0.0935185,1.518407,0.09458495
140.5728,2,1,1,0.09358276,1.518409,0.09454871
140.5838,2,1,1,0.09356654,1.518429,0.09448696
140.595,2,1,1,0.09361006,1.518426,0.09441376
140.6064,2,1,1,0.09350563,1.518436,0.09450246
140.6174,2,1,1,0.09349848,1.518431,0.09440733
140.6285,2,1,1,0.09354091,1.518467,0.0943308
140.6396,2,1,1,0.09357382,1.518487,0.09427644
140.6508,2,1,1,0.09360386,1.51849,0.09417153
140.662,2,1,1,0.09367693,1.518532,0.09403182
140.673,2,1,1,0.09370077,1.518544,0.09393097
140.6839,2,1,1,0.09368921,1.518593,0.09381581
140.6949,2,1,1,0.09369564,1.51859,0.09371591
140.7059,2,1,1,0.09378243,1.518568,0.09350634
140.717,2,1,1,0.09389222,1.51865,0.09339714
140.7281,2,1,1,0.09386731,1.518683,0.09330869
140.7393,2,1,1,0.09399844,1.518689,0.09310269
140.7503,2,1,1,0.09401131,1.518707,0.09300184
140.7614,2,1,1,0.09406138,1.518707,0.0928719
140.7725,2,1,1,0.09411193,1.518721,0.0927465
140.7837,2,1,1,0.09416331,1.518725,0.09264922
140.7948,2,1,1,0.09422768,1.518723,0.09253931
140.8059,2,1,1,0.09424735,1.518729,0.09254074
140.817,2,1,1,0.0944028,1.518727,0.09239793
140.8283,2,1,1,0.09439076,1.518753,0.09237957
140.8394,2,1,1,0.09440411,1.518743,0.09231687
140.8503,2,1,1,0.09445966,1.518728,0.09223366
140.8614,2,1,1,0.09455169,1.518666,0.09214282
140.8724,2,1,1,0.09470392,1.518631,0.09200549
140.8836,2,1,1,0.09471393,1.518574,0.09194255
140.8946,2,1,1,0.09485997,1.51848,0.09180927
140.9057,2,1,1,0.09494103,1.518477,0.09178114
140.9171,2,1,1,0.09496725,1.518464,0.09171486
140.9279,2,1,1,0.09503628,1.518435,0.09165144
140.9391,2,1,1,0.09505797,1.518416,0.09156466
140.9503,2,1,1,0.09516025,1.518293,0.09141374
140.9614,2,1,1,0.09514499,1.518241,0.09137869
140.9727,2,1,1,0.09517611,1.518172,0.0913105
140.9837,2,1,1,0.09530617,1.518128,0.09122205
140.9949,2,1,1,0.0954125,1.518141,0.09113741
141.0059,2,1,1,0.09545995,1.518121,0.09103918
141.017,2,1,1,0.09548832,1.518157,0.09098864
141.0282,2,1,1,0.09550727,1.518123,0.09081101
141.0391,2,1,1,0.09552646,1.518114,0.09074926
141.0502,2,1,1,0.09557427,1.518049,0.09068608
141.0613,2,1,1,0.0955931,1.517985,0.09064674
141.0726,2,1,1,0.09562743,1.51792,0.09055853
141.0838,2,1,1,0.09562815,1.517933,0.09046817
141.0945,2,1,1,0.09563626,1.518046,0.09035301
141.1055,2,1,1,0.09567011,1.518103,0.09028792
141.1167,2,1,1,0.09576691,1.518212,0.09025145
141.1279,2,1,1,0.09583843,1.518152,0.09014606
141.1388,2,1,1,0.0957923,1.518127,0.08996701
141.1498,2,1,1,0.09589101,1.518152,0.08974147
141.161,2,1,1,0.09599078,1.518286,0.0895102
141.1723,2,1,1,0.09626902,1.518556,0.08917189
141.1895,2,1,1,0.09648181,1.51879,0.08888197
141.1943,2,1,1,0.09662069,1.518935,0.08861279
141.2045,2,1,1,0.09674347,1.518957,0.08833051
141.2156,2,1,1,0.09684647,1.518886,0.08798814
141.2268,2,1,1,0.0968603,1.51887,0.08776402
141.2378,2,1,1,0.09686459,1.518955,0.08764219
141.2488,2,1,1,0.09684599,1.519061,0.08742642
141.26,2,1,1,0.09678543,1.51915,0.08719635
141.2712,2,1,1,0.09665287,1.519165,0.08698344
141.2824,2,1,1,0.09655596,1.519156,0.08677721
141.2936,2,1,1,0.09634412,1.519125,0.08649492
141.3048,2,1,1,0.09619857,1.519018,0.08633447
141.3159,2,1,1,0.09599734,1.518784,0.08616877
141.327,2,1,1,0.09567047,1.518681,0.08622098
141.3382,2,1,1,0.09537185,1.518451,0.08620262
141.3494,2,1,1,0.09501792,1.51826,0.08614969
141.3604,2,1,1,0.09458388,1.518159,0.08621192
141.3714,2,1,1,0.09424234,1.518151,0.08622122
141.3826,2,1,1,0.09369993,1.517913,0.08620525
141.3938,2,1,1,0.09302402,1.517645,0.08629466
141.4044,2,1,1,0.09251261,1.517363,0.08633042
141.4155,2,1,1,0.09188724,1.517099,0.08643246
141.4265,2,1,1,0.09133482,1.516856,0.08670688
141.4376,2,1,1,0.09074557,1.516672,0.08693434
141.4487,2,1,1,0.0901711,1.516468,0.08721448
141.4599,2,1,1,0.08965719,1.516182,0.08763958
141.4711,2,1,1,0.0890404,1.515927,0.08789016
141.4821,2,1,1,0.08838105,1.515686,0.08818079
141.4933,2,1,1,0.08770192,1.515428,0.08820868
141.5046,2,1,1,0.08698726,1.515156,0.0884173
141.5157,2,1,1,0.08624792,1.514955,0.0886159
141.5267,2,1,1,0.08553541,1.515063,0.08892227
141.5379,2,1,1,0.08499897,1.51537,0.08906246
141.5491,2,1,1,0.08460808,1.516004,0.0892892
141.56,2,1,1,0.08426046,1.516773,0.08943821
141.5713,2,1,1,0.0842104,1.517613,0.08930636
141.5833,2,1,1,0.08417404,1.51839,0.08919097
141.5938,2,1,1,0.08402824,1.519019,0.08906604
141.6048,2,1,1,0.08388329,1.519584,0.08891536
141.616,2,1,1,0.08375561,1.52004,0.08877588
141.6271,2,1,1,0.08360243,1.520434,0.088727
141.6382,2,1,1,0.08353591,1.520627,0.08863378
141.6494,2,1,1,0.08331215,1.52091,0.08866001
141.6605,2,1,1,0.08336127,1.521093,0.08856583
141.6716,2,1,1,0.08324444,1.521287,0.08855463
141.6829,2,1,1,0.0831728,1.521499,0.0886016
141.6941,2,1,1,0.08308363,1.521604,0.08853913
141.7053,2,1,1,0.0829947,1.521701,0.08850909
141.7163,2,1,1,0.0829289,1.521762,0.08842254
141.7276,2,1,1,0.0829463,1.521816,0.08828283
141.7386,2,1,1,0.08290124,1.521883,0.08821297
141.7498,2,1,1,0.08284509,1.521929,0.0881517
141.761,2,1,1,0.08283889,1.521913,0.08806444
141.7721,2,1,1,0.08286345,1.521854,0.08798672
141.7834,2,1,1,0.08271909,1.521785,0.08793951
141.7945,2,1,1,0.08273995,1.52163,0.08787943
141.8057,2,1,1,0.08280432,1.521481,0.08772445
141.8167,2,1,1,0.0828402,1.521357,0.08768416
141.8279,2,1,1,0.08289683,1.521215,0.08760286
141.8391,2,1,1,0.08291805,1.52107,0.08753706
141.8501,2,1,1,0.0830456,1.520992,0.08741785
141.8613,2,1,1,0.08310318,1.520885,0.08727337
141.8721,2,1,1,0.08320498,1.520806,0.08713055
141.8834,2,1,1,0.08336008,1.52079,0.08703495
141.8944,2,1,1,0.0834794,1.52077,0.08690692
141.9053,2,1,1,0.08358157,1.520721,0.08674932
141.9164,2,1,1,0.08370066,1.520734,0.08661009
141.9276,2,1,1,0.08382308,1.520728,0.08645654
141.9386,2,1,1,0.08393896,1.520736,0.08634783
141.9496,2,1,1,0.08404899,1.520726,0.08622885
141.9607,2,1,1,0.08407211,1.520608,0.08615518
141.9717,2,1,1,0.08411002,1.520565,0.08617378
141.9829,2,1,1,0.08410406,1.520457,0.08612276
141.9941,2,1,1,0.08403194,1.520346,0.08609749
142.0052,2,1,1,0.08407021,1.520306,0.08604646
142.0164,2,1,1,0.08400667,1.520271,0.08607603
142.0274,2,1,1,0.08397138,1.520163,0.08596755
142.0387,2,1,1,0.08392704,1.520071,0.08601833
142.0498,2,1,1,0.08396828,1.520032,0.08609677
142.0608,2,1,1,0.08391559,1.51998,0.08617926
142.072,2,1,1,0.08401036,1.520034,0.08619595
142.0832,2,1,1,0.08408976,1.520023,0.0862167
142.0942,2,1,1,0.08416033,1.51999,0.08625413
142.1052,2,1,1,0.08423769,1.519942,0.0862434
142.1163,2,1,1,0.08425522,1.519952,0.08630873
142.1274,2,1,1,0.08438075,1.519997,0.08638812
142.1384,2,1,1,0.0843724,1.52,0.08643151
142.1497,2,1,1,0.08454168,1.520084,0.08629609
142.1607,2,1,1,0.08460867,1.520155,0.08631898
142.1718,2,1,1,0.08464968,1.520191,0.08631373
142.1831,2,1,1,0.08465803,1.520233,0.08628274
142.1942,2,1,1,0.08459187,1.520182,0.08630491
142.2054,2,1,1,0.08455753,1.520032,0.08625985
142.2166,2,1,1,0.08452451,1.519963,0.08628274
142.2278,2,1,1,0.08445275,1.51991,0.08628989
142.2389,2,1,1,0.08448637,1.519961,0.0863731
142.25,2,1,1,0.08449888,1.52002,0.08635021
142.261,2,1,1,0.08453584,1.520105,0.08630873
142.272,2,1,1,0.08451402,1.520138,0.08630348
142.2832,2,1,1,0.08449709,1.520128,0.0863216
142.2943,2,1,1,0.08448756,1.52014,0.08626486
142.3053,2,1,1,0.08442414,1.520109,0.08626271
142.3165,2,1,1,0.08440971,1.520037,0.0863185
142.3273,2,1,1,0.08442366,1.519925,0.08619142
142.3383,2,1,1,0.08440828,1.519815,0.08619238
142.3495,2,1,1,0.08436799,1.519797,0.08619333
142.3609,2,1,1,0.08434737,1.519762,0.08618427
142.3717,2,1,1,0.08439958,1.519709,0.08630539
142.3829,2,1,1,0.0843873,1.519717,0.08631755
142.3941,2,1,1,0.08448613,1.519691,0.08617163
142.4053,2,1,1,0.08458662,1.519755,0.08615113
142.4164,2,1,1,0.08461618,1.519797,0.08614207
142.4275,2,1,1,0.08471835,1.519907,0.08611489
142.4386,2,1,1,0.08481348,1.520011,0.0860901
142.4498,2,1,1,0.08480716,1.520065,0.08588863
142.4607,2,1,1,0.08483207,1.520052,0.08584882
142.4718,2,1,1,0.08491874,1.520079,0.08568931
142.4829,2,1,1,0.08494782,1.520113,0.08565021
142.4943,2,1,1,0.08495641,1.520088,0.08560563
142.5051,2,1,1,0.08500504,1.520127,0.08560444
142.5162,2,1,1,0.08503246,1.520064,0.08557106
142.5273,2,1,1,0.08502686,1.520098,0.08565236
142.5385,2,1,1,0.08502007,1.520065,0.08562923
142.5496,2,1,1,0.08510745,1.520022,0.08547426
142.5608,2,1,1,0.08516896,1.519942,0.08530165
142.5718,2,1,1,0.08526564,1.51993,0.08525039
142.5828,2,1,1,0.08529234,1.519961,0.08529926
142.5941,2,1,1,0.08542252,1.520004,0.08525205
142.6051,2,1,1,0.0854764,1.519957,0.08520437
142.6163,2,1,1,0.08564532,1.519932,0.08518363
142.6275,2,1,1,0.08579838,1.51991,0.0851884
142.6383,2,1,1,0.08587027,1.519889,0.08518649
142.6495,2,1,1,0.08596599,1.519852,0.08518244
142.6606,2,1,1,0.08603454,1.519812,0.08518077
142.6716,2,1,1,0.08604741,1.51983,0.0852685
142.6827,2,1,1,0.08611965,1.519837,0.08525706
142.6938,2,1,1,0.08616424,1.51979,0.0853138
142.7048,2,1,1,0.08622253,1.519765,0.08530999
142.716,2,1,1,0.08626628,1.519799,0.08521081
142.727,2,1,1,0.08633971,1.519788,0.08521033
142.7382,2,1,1,0.08649731,1.519734,0.08518744
142.7493,2,1,1,0.086568,1.519699,0.08519245
142.7604,2,1,1,0.08664024,1.519692,0.08517504
142.7715,2,1,1,0.0867393,1.519659,0.08516455
142.7829,2,1,1,0.08686495,1.519623,0.08509184
142.794,2,1,1,0.08696699,1.5196,0.08507324
142.8051,2,1,1,0.08699322,1.519551,0.08509899
142.8163,2,1,1,0.08710945,1.519496,0.08507419
142.8273,2,1,1,0.0872004,1.519456,0.08506966
142.8384,2,1,1,0.08730483,1.519419,0.08492161
142.8498,2,1,1,0.08755875,1.519411,0.08492447
142.8608,2,1,1,0.0877434,1.519399,0.08497215
142.8716,2,1,1,0.08787704,1.51943,0.08495403
142.8828,2,1,1,0.08799803,1.519461,0.08492423
142.8938,2,1,1,0.08812046,1.519472,0.08492184
142.905,2,1,1,0.08820963,1.519513,0.08486391
142.9161,2,1,1,0.08833778,1.519527,0.08485986
142.9275,2,1,1,0.08849096,1.51952,0.08493853
142.9385,2,1,1,0.08861053,1.519562,0.08500362
142.9495,2,1,1,0.08871996,1.519607,0.08502985
142.9604,2,1,1,0.08888292,1.519627,0.08512903
142.9714,2,1,1,0.08901298,1.519669,0.08517218
142.9824,2,1,1,0.08919239,1.519756,0.08528758
142.9935,2,1,1,0.08937764,1.519856,0.08539487
143.0046,2,1,1,0.08952987,1.519898,0.0854683
143.0157,2,1,1,0.0897094,1.51994,0.08553339
143.0271,2,1,1,0.08987951,1.519914,0.08555914
143.0382,2,1,1,0.09009802,1.519926,0.08566142
143.0492,2,1,1,0.09030569,1.519917,0.08563638
143.0602,2,1,1,0.09051132,1.519952,0.08568478
143.0712,2,1,1,0.09074616,1.519943,0.08567858
143.0823,2,1,1,0.09093595,1.519937,0.08573628
143.0936,2,1,1,0.09114051,1.519904,0.08580614
143.1045,2,1,1,0.09135699,1.519805,0.0857966
143.1157,2,1,1,0.09150505,1.519769,0.08585978
143.1269,2,1,1,0.09166682,1.51965,0.08589173
143.1381,2,1,1,0.09187877,1.519558,0.08592368
143.1496,2,1,1,0.09215295,1.51943,0.08607221
143.1607,2,1,1,0.0924058,1.519369,0.08607865
143.1716,2,1,1,0.0925467,1.519351,0.0861435
143.1827,2,1,1,0.09273267,1.51929,0.08617998
143.1938,2,1,1,0.09290826,1.519256,0.08623911
143.2048,2,1,1,0.09309602,1.519197,0.08620501
143.216,2,1,1,0.09328616,1.519146,0.08626867
143.2272,2,1,1,0.09341168,1.51907,0.08636356
143.2381,2,1,1,0.09364724,1.519043,0.08637739
143.2492,2,1,1,0.09385622,1.518936,0.08643508
143.2603,2,1,1,0.09405053,1.518886,0.08646822
143.2714,2,1,1,0.09426404,1.518804,0.08651733
143.2825,2,1,1,0.0944984,1.518814,0.08669782
143.2937,2,1,1,0.09471989,1.518725,0.08682036
143.3048,2,1,1,0.09489907,1.518753,0.08690834
143.3159,2,1,1,0.09509457,1.518724,0.08696222
143.327,2,1,1,0.09529067,1.518664,0.08691788
143.3381,2,1,1,0.0954907,1.518626,0.08694434
143.3492,2,1,1,0.09575904,1.518611,0.08707595
143.3601,2,1,1,0.09601677,1.518599,0.08718896
143.3711,2,1,1,0.09620357,1.51855,0.08723021
