Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
29.55745,me,1,1,0.1144311,1.882911,-0.8491557
29.56889,me,1,1,0.1144046,1.882888,-0.8492306
29.5797,me,1,1,0.1143,1.882833,-0.8492768
29.59156,me,1,1,0.1142246,1.882832,-0.849293
29.60258,me,1,1,0.1141872,1.882805,-0.8493482
29.6135,me,1,1,0.114233,1.882873,-0.849341
29.62429,me,1,1,0.11414,1.882912,-0.8493686
29.63534,me,1,1,0.1141285,1.882898,-0.8494494
29.6463,me,1,1,0.1140971,1.882942,-0.8494135
29.65785,me,1,1,0.1141018,1.882915,-0.8494114
29.66855,me,1,1,0.114078,1.882898,-0.8493898
29.67958,me,1,1,0.1139543,1.882905,-0.8493377
29.69136,me,1,1,0.1138772,1.882893,-0.8493418
29.70195,me,1,1,0.1138281,1.882883,-0.8493148
29.71359,me,1,1,0.1139185,1.882955,-0.8493344
29.72416,me,1,1,0.1139173,1.88297,-0.8493526
29.7353,me,1,1,0.1138911,1.882994,-0.8493633
29.7467,me,1,1,0.1139419,1.883026,-0.8494394
29.75739,me,1,1,0.1139485,1.883043,-0.8494661
29.76866,me,1,1,0.1139218,1.883058,-0.8494998
29.77966,me,1,1,0.1138732,1.883096,-0.8495255
29.79115,me,1,1,0.1138708,1.883099,-0.8495626
29.80192,me,1,1,0.1138396,1.883109,-0.8495913
29.81293,me,1,1,0.1137855,1.883132,-0.8496109
29.82428,me,1,1,0.1137895,1.883103,-0.8496366
29.83517,me,1,1,0.1137807,1.883142,-0.8497262
29.84642,me,1,1,0.1138057,1.883139,-0.8497862
29.85739,me,1,1,0.1138102,1.883126,-0.8498135
29.86848,me,1,1,0.1137752,1.883114,-0.8497174
29.87955,me,1,1,0.113713,1.883112,-0.8497283
29.89179,me,1,1,0.1137444,1.883077,-0.8497117
29.90195,me,1,1,0.1137266,1.883079,-0.8497223
29.9129,me,1,1,0.1137669,1.88314,-0.8497024
29.92401,me,1,1,0.1137166,1.883195,-0.8497138
29.93529,me,1,1,0.1136555,1.883212,-0.8496809
29.94617,me,1,1,0.1136329,1.883214,-0.849664
29.95737,me,1,1,0.1136114,1.883245,-0.8496339
29.9685,me,1,1,0.1136114,1.883246,-0.8495991
29.97951,me,1,1,0.1136126,1.883283,-0.8495886
29.99063,me,1,1,0.1135852,1.883304,-0.8495626
30.00201,me,1,1,0.1135876,1.883301,-0.8495216
30.01292,me,1,1,0.1135451,1.883286,-0.8494917
30.0247,me,1,1,0.1135296,1.883297,-0.8494661
30.03559,me,1,1,0.1135418,1.883298,-0.8495041
30.0462,me,1,1,0.1135151,1.883303,-0.8494734
30.05736,me,1,1,0.113521,1.88328,-0.8494358
30.06835,me,1,1,0.1135163,1.883267,-0.8493859
30.07947,me,1,1,0.1135818,1.883297,-0.8493559
30.09077,me,1,1,0.1136131,1.88325,-0.8492877
30.10269,me,1,1,0.1136281,1.883224,-0.8492336
30.11278,me,1,1,0.1136336,1.883244,-0.8491561
30.12461,me,1,1,0.1136817,1.883186,-0.8490961
30.1351,me,1,1,0.1136915,1.883195,-0.8490622
30.14613,me,1,1,0.1137185,1.883185,-0.8490422
30.1574,me,1,1,0.1136834,1.883194,-0.8489996
30.16844,me,1,1,0.1136572,1.883182,-0.8489512
30.17939,me,1,1,0.113681,1.883221,-0.8489132
30.1906,me,1,1,0.1137278,1.883177,-0.8488793
30.20202,me,1,1,0.1137223,1.883183,-0.8489038
30.21281,me,1,1,0.1137545,1.883214,-0.8489015
30.22395,me,1,1,0.1136376,1.883306,-0.8489137
30.23513,me,1,1,0.1136205,1.883295,-0.8488181
30.2461,me,1,1,0.1136276,1.883349,-0.8487964
30.25715,me,1,1,0.1136252,1.883337,-0.8487818
30.26855,me,1,1,0.1136069,1.88334,-0.8487591
30.27939,me,1,1,0.1135921,1.883355,-0.8487151
30.29054,me,1,1,0.1136224,1.88333,-0.8486803
30.30194,me,1,1,0.1136162,1.883321,-0.848682
30.31281,me,1,1,0.1136126,1.883298,-0.8486677
30.32395,me,1,1,0.113593,1.883312,-0.8486434
30.33518,me,1,1,0.1135926,1.883288,-0.8486431
30.34602,me,1,1,0.1134846,1.883284,-0.8485634
30.35723,me,1,1,0.1134169,1.883355,-0.8485636
30.3684,me,1,1,0.1133987,1.883342,-0.8484957
30.37943,me,1,1,0.1134011,1.883398,-0.8484199
30.3905,me,1,1,0.1134421,1.883374,-0.8483595
30.40168,me,1,1,0.1134314,1.883361,-0.8482487
30.41281,me,1,1,0.1134667,1.883389,-0.8482324
30.42391,me,1,1,0.1134936,1.883385,-0.8481787
30.43515,me,1,1,0.1134831,1.883371,-0.8481852
30.44624,me,1,1,0.113507,1.883409,-0.8481375
30.45709,me,1,1,0.1134486,1.883453,-0.8481644
30.46839,me,1,1,0.1134123,1.883415,-0.8481457
30.47931,me,1,1,0.1134338,1.883436,-0.8481477
30.49054,me,1,1,0.1133902,1.883462,-0.848152
30.50163,me,1,1,0.1133882,1.883444,-0.8481697
30.51274,me,1,1,0.1134181,1.883479,-0.8481804
30.52379,me,1,1,0.1134908,1.88342,-0.8481512
30.53491,me,1,1,0.1134958,1.8834,-0.8481259
30.54618,me,1,1,0.1134667,1.883422,-0.8481243
30.55712,me,1,1,0.1135013,1.883366,-0.8481163
30.56817,me,1,1,0.1134741,1.8833,-0.8480523
30.57952,me,1,1,0.1133825,1.883282,-0.8480251
30.59042,me,1,1,0.1132941,1.883325,-0.8480338
30.60164,me,1,1,0.1132831,1.883332,-0.8479722
30.61253,me,1,1,0.1131882,1.883352,-0.8479518
30.62384,me,1,1,0.113218,1.883349,-0.8479375
30.6349,me,1,1,0.1131825,1.883399,-0.8479646
30.64588,me,1,1,0.113214,1.883417,-0.8480213
30.65712,me,1,1,0.1131129,1.883527,-0.8480542
30.66832,me,1,1,0.1130893,1.883542,-0.8480901
30.67936,me,1,1,0.113017,1.883559,-0.8481302
30.69034,me,1,1,0.1130681,1.883507,-0.848124
30.70153,me,1,1,0.1130516,1.883511,-0.8481804
30.71264,me,1,1,0.1130413,1.883541,-0.8481917
30.72364,me,1,1,0.1129662,1.8836,-0.8482039
30.73505,me,1,1,0.1129214,1.883591,-0.8481277
30.74604,me,1,1,0.1128916,1.883624,-0.8481345
30.75704,me,1,1,0.1128129,1.883657,-0.8480817
30.76809,me,1,1,0.1128103,1.883669,-0.8481206
30.77932,me,1,1,0.1127941,1.88369,-0.8481278
30.79033,me,1,1,0.1128382,1.883659,-0.8481294
30.80162,me,1,1,0.1128418,1.883645,-0.8481547
30.81247,me,1,1,0.1128406,1.883633,-0.8481873
30.82372,me,1,1,0.1128039,1.883666,-0.8482043
30.83482,me,1,1,0.1128089,1.883653,-0.8481594
30.84579,me,1,1,0.1128425,1.883707,-0.848151
30.85696,me,1,1,0.1127634,1.883716,-0.8480641
30.86813,me,1,1,0.1127691,1.883714,-0.8481001
30.87912,me,1,1,0.1127765,1.883711,-0.8481394
30.89023,me,1,1,0.1127951,1.88369,-0.8481168
30.90146,me,1,1,0.1128079,1.883688,-0.848135
30.91249,me,1,1,0.1128594,1.883715,-0.848137
30.92386,me,1,1,0.1129131,1.883669,-0.8480796
30.93887,me,1,1,0.1129188,1.883665,-0.8480585
30.94588,me,1,1,0.1129434,1.883653,-0.8480396
30.95689,me,1,1,0.1129629,1.883642,-0.8480089
30.96812,me,1,1,0.1129927,1.883614,-0.8479297
30.97918,me,1,1,0.1129591,1.883587,-0.8479052
30.99084,me,1,1,0.1129958,1.883511,-0.8478312
31.00184,me,1,1,0.1130058,1.883503,-0.8477933
31.01264,me,1,1,0.1129469,1.883516,-0.8476945
31.02355,me,1,1,0.1129438,1.883535,-0.8476853
31.03477,me,1,1,0.1129422,1.883516,-0.8476927
31.04605,me,1,1,0.112883,1.883506,-0.847672
31.05755,me,1,1,0.1129698,1.883475,-0.8477018
31.0681,me,1,1,0.1129624,1.883469,-0.8477402
31.07958,me,1,1,0.1130182,1.88355,-0.8477101
31.09031,me,1,1,0.1131639,1.883439,-0.8476895
31.10134,me,1,1,0.1131637,1.883433,-0.8477235
31.11231,me,1,1,0.1131663,1.883488,-0.8477026
31.12352,me,1,1,0.1131515,1.883496,-0.8477091
31.13471,me,1,1,0.1131362,1.883505,-0.8477601
31.14579,me,1,1,0.1130173,1.883471,-0.8477629
31.15701,me,1,1,0.1129734,1.883505,-0.8477879
31.16864,me,1,1,0.1129605,1.883496,-0.8478295
31.179,me,1,1,0.1128997,1.883515,-0.847818
31.19007,me,1,1,0.1128945,1.883512,-0.8478178
31.20128,me,1,1,0.1128687,1.883498,-0.8478355
31.21239,me,1,1,0.1128439,1.883513,-0.8478205
31.22355,me,1,1,0.1127386,1.883592,-0.84785
31.23468,me,1,1,0.1127111,1.883588,-0.84786
31.24589,me,1,1,0.1127073,1.883653,-0.8478653
31.2571,me,1,1,0.1128189,1.883621,-0.847917
31.268,me,1,1,0.1127936,1.883637,-0.8479209
31.27905,me,1,1,0.1127669,1.883662,-0.8479109
31.29013,me,1,1,0.1127829,1.883663,-0.8479077
31.30153,me,1,1,0.1127769,1.883667,-0.8478942
31.31224,me,1,1,0.1127486,1.883705,-0.847859
31.32345,me,1,1,0.1127555,1.883664,-0.8478751
31.33451,me,1,1,0.1127245,1.883651,-0.8479986
31.34557,me,1,1,0.1127042,1.883672,-0.8480119
31.35671,me,1,1,0.1127405,1.883605,-0.8480383
31.36794,me,1,1,0.1127121,1.883588,-0.8480601
31.37902,me,1,1,0.1126315,1.883555,-0.8480895
31.39002,me,1,1,0.1125388,1.883613,-0.8480939
31.40128,me,1,1,0.112509,1.883616,-0.8480386
31.41229,me,1,1,0.1124997,1.883592,-0.8480763
31.42336,me,1,1,0.1125724,1.883518,-0.8480562
31.43451,me,1,1,0.1125483,1.883497,-0.8480263
31.44613,me,1,1,0.1124958,1.883461,-0.8480393
31.45699,me,1,1,0.1124527,1.883429,-0.848031
31.46776,me,1,1,0.1124153,1.883407,-0.8479559
31.47888,me,1,1,0.1123757,1.883439,-0.8479503
31.49007,me,1,1,0.1123526,1.883456,-0.8479534
31.50174,me,1,1,0.1123359,1.883488,-0.8479748
31.51216,me,1,1,0.112354,1.883558,-0.8480039
31.52341,me,1,1,0.1123135,1.88363,-0.8480288
31.53442,me,1,1,0.1122758,1.883669,-0.8479867
31.54566,me,1,1,0.1122643,1.883722,-0.8479977
31.55675,me,1,1,0.1122801,1.883683,-0.8479933
31.56793,me,1,1,0.1122608,1.883689,-0.8480514
31.579,me,1,1,0.1122498,1.883711,-0.8480792
31.58992,me,1,1,0.1122615,1.883695,-0.8481014
31.60108,me,1,1,0.1122345,1.883695,-0.8481469
31.61226,me,1,1,0.1123032,1.883727,-0.8481684
31.62328,me,1,1,0.1122498,1.88378,-0.848184
31.6344,me,1,1,0.112257,1.883759,-0.8481257
31.64589,me,1,1,0.112256,1.883786,-0.8481234
31.65665,me,1,1,0.1122627,1.883767,-0.8480854
31.66777,me,1,1,0.1122791,1.88376,-0.8480554
31.67908,me,1,1,0.1122121,1.883727,-0.8480651
31.68996,me,1,1,0.112226,1.883709,-0.8480585
31.70182,me,1,1,0.1122384,1.883709,-0.8480746
31.7128,me,1,1,0.1122429,1.883736,-0.8480529
31.72326,me,1,1,0.1122412,1.883754,-0.8480462
31.73443,me,1,1,0.1122553,1.88376,-0.8480489
31.74549,me,1,1,0.1122839,1.883782,-0.8480303
31.75661,me,1,1,0.1122937,1.883784,-0.8480194
31.76771,me,1,1,0.1123173,1.883768,-0.8479707
31.77876,me,1,1,0.1122882,1.883765,-0.8479788
31.79002,me,1,1,0.1123456,1.883723,-0.8479617
31.80097,me,1,1,0.1123568,1.883721,-0.8479663
31.81207,me,1,1,0.1123545,1.883732,-0.8479285
31.82321,me,1,1,0.1123783,1.883705,-0.8479061
31.83433,me,1,1,0.1123914,1.883684,-0.8478966
