Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
17.45122,12,1,1,0,1.59,0
17.45387,12,1,1,0,1.59,0
17.45612,12,1,1,0,1.59,0
17.45828,12,1,1,0,1.59,0
17.46043,12,1,1,0,1.59,0
17.46297,12,1,1,0,1.59,0
17.4652,12,1,1,0,1.59,0
17.4674,12,1,1,0,1.59,0
17.46957,12,1,1,0,1.59,0
17.4717,12,1,1,0,1.59,0
17.47382,12,1,1,0,1.59,0
17.47594,12,1,1,0,1.59,0
17.47803,12,1,1,0,1.59,0
17.48012,12,1,1,0,1.59,0
17.48252,12,1,1,0,1.59,0
17.48475,12,1,1,0,1.59,0
17.48694,12,1,1,0,1.59,0
17.48907,12,1,1,0,1.59,0
17.49119,12,1,1,0,1.59,0
17.49331,12,1,1,0,1.59,0
17.4955,12,1,1,0,1.59,0
17.49759,12,1,1,0,1.59,0
17.50014,12,1,1,0,1.59,0
17.5104,12,1,1,0,1.59,0
17.52192,12,1,1,0,1.59,0
17.52478,12,1,1,0,1.59,0
17.52708,12,1,1,0,1.59,0
17.5294,12,1,1,0,1.59,0
17.5315,12,1,1,0,1.59,0
17.53361,12,1,1,0,1.59,0
17.53572,12,1,1,0,1.59,0
17.53782,12,1,1,0,1.59,0
17.53991,12,1,1,0,1.59,0
17.54201,12,1,1,0,1.59,0
17.54442,12,1,1,0,1.59,0
17.54657,12,1,1,0,1.59,0
17.5487,12,1,1,0,1.59,0
17.55081,12,1,1,0,1.59,0
17.55293,12,1,1,0,1.59,0
17.55508,12,1,1,0,1.59,0
17.55713,12,1,1,0,1.59,0
17.55919,12,1,1,0,1.59,0
17.56144,12,1,1,0,1.59,0
17.5639,12,1,1,0,1.59,0
17.56601,12,1,1,0,1.59,0
17.56807,12,1,1,0,1.59,0
17.57015,12,1,1,0,1.59,0
17.57228,12,1,1,0,1.59,0
17.57435,12,1,1,0,1.59,0
17.57654,12,1,1,0,1.59,0
17.5787,12,1,1,0,1.59,0
17.5808,12,1,1,0,1.59,0
17.58319,12,1,1,0,1.59,0
17.58525,12,1,1,0,1.59,0
17.58734,12,1,1,0,1.59,0
17.58943,12,1,1,0,1.59,0
17.59159,12,1,1,0,1.59,0
17.59368,12,1,1,0,1.59,0
17.59572,12,1,1,0,1.59,0
17.59795,12,1,1,0,1.59,0
17.60006,12,1,1,0,1.59,0
17.60253,12,1,1,0,1.59,0
17.60466,12,1,1,0,1.59,0
17.60701,12,1,1,0,1.59,0
17.60912,12,1,1,0,1.59,0
17.61116,12,1,1,0,1.59,0
17.6132,12,1,1,0,1.59,0
17.61532,12,1,1,0,1.59,0
17.61742,12,1,1,0,1.59,0
17.6199,12,1,1,0,1.59,0
17.62886,12,1,1,0,1.59,0
17.63163,12,1,1,0,1.59,0
17.63386,12,1,1,0,1.59,0
17.63607,12,1,1,0,1.59,0
17.63822,12,1,1,0,1.59,0
17.6403,12,1,1,0,1.59,0
17.64288,12,1,1,0,1.59,0
17.64495,12,1,1,0,1.59,0
17.64699,12,1,1,0,1.59,0
17.64905,12,1,1,0,1.59,0
17.65123,12,1,1,0,1.59,0
17.65857,12,1,1,0,1.59,0
17.66094,12,1,1,0,1.59,0
17.66351,12,1,1,0,1.59,0
17.66573,12,1,1,0,1.59,0
17.66785,12,1,1,0,1.59,0
17.66997,12,1,1,0,1.59,0
17.67202,12,1,1,0,1.59,0
17.67418,12,1,1,0,1.59,0
17.67622,12,1,1,0,1.59,0
17.67824,12,1,1,0,1.59,0
17.68031,12,1,1,0,1.59,0
17.68272,12,1,1,0,1.59,0
17.68491,12,1,1,0,1.59,0
17.68694,12,1,1,0,1.59,0
17.68887,12,1,1,0,1.59,0
17.69103,12,1,1,0,1.59,0
17.69314,12,1,1,0,1.59,0
17.69526,12,1,1,0,1.59,0
17.69741,12,1,1,0,1.59,0
17.69959,12,1,1,0,1.59,0
17.70169,12,1,1,0,1.59,0
17.70407,12,1,1,0,1.59,0
17.7062,12,1,1,0,1.59,0
17.70831,12,1,1,0,1.59,0
17.71036,12,1,1,0,1.59,0
17.71242,12,1,1,0,1.59,0
17.71444,12,1,1,0,1.59,0
17.71663,12,1,1,0,1.59,0
17.71872,12,1,1,0,1.59,0
17.72088,12,1,1,0,1.59,0
17.72347,12,1,1,0,1.59,0
17.73187,12,1,1,0,1.59,0
17.73426,12,1,1,0,1.59,0
17.73642,12,1,1,0,1.59,0
17.7472,12,1,1,0,1.59,0
17.75072,12,1,1,0,1.59,0
17.7531,12,1,1,0,1.59,0
17.7553,12,1,1,0,1.59,0
17.75751,12,1,1,0,1.59,0
17.75964,12,1,1,0,1.59,0
17.76181,12,1,1,0,1.59,0
17.76421,12,1,1,0,1.59,0
17.7663,12,1,1,0,1.59,0
17.7684,12,1,1,0,1.59,0
17.77055,12,1,1,0,1.59,0
17.77264,12,1,1,0,1.59,0
17.77467,12,1,1,0,1.59,0
17.77674,12,1,1,0,1.59,0
17.77878,12,1,1,0,1.59,0
17.7809,12,1,1,0,1.59,0
17.78343,12,1,1,0,1.59,0
17.78559,12,1,1,0,1.59,0
17.78774,12,1,1,0,1.59,0
17.78983,12,1,1,0,1.59,0
17.79187,12,1,1,0,1.59,0
17.79395,12,1,1,0,1.59,0
17.79604,12,1,1,0,1.59,0
17.79809,12,1,1,0,1.59,0
17.80018,12,1,1,0,1.59,0
17.80274,12,1,1,0,1.59,0
17.80987,12,1,1,0,1.59,0
17.81206,12,1,1,0,1.59,0
17.81418,12,1,1,0,1.59,0
17.81628,12,1,1,0,1.59,0
17.81835,12,1,1,0,1.59,0
17.82043,12,1,1,0,1.59,0
17.82274,12,1,1,0,1.59,0
17.82478,12,1,1,0,1.59,0
17.82683,12,1,1,0,1.59,0
17.82885,12,1,1,0,1.59,0
17.83114,12,1,1,0,1.59,0
17.83876,12,1,1,0,1.59,0
17.84117,12,1,1,0,1.59,0
17.84375,12,1,1,0,1.59,0
17.84589,12,1,1,0,1.59,0
17.84796,12,1,1,0,1.59,0
17.85012,12,1,1,0,1.59,0
17.85235,12,1,1,0,1.59,0
17.85444,12,1,1,0,1.59,0
17.85646,12,1,1,0,1.59,0
17.85863,12,1,1,0,1.59,0
17.86079,12,1,1,0,1.59,0
17.86334,12,1,1,0,1.59,0
17.86546,12,1,1,0,1.59,0
17.86757,12,1,1,0,1.59,0
17.86973,12,1,1,0,1.59,0
17.87178,12,1,1,0,1.59,0
17.87395,12,1,1,0,1.59,0
17.87609,12,1,1,0,1.59,0
17.87825,12,1,1,0,1.59,0
17.8803,12,1,1,0,1.59,0
17.88264,12,1,1,0,1.59,0
17.88481,12,1,1,0,1.59,0
17.88694,12,1,1,0,1.59,0
17.88902,12,1,1,0,1.59,0
17.89114,12,1,1,0,1.59,0
17.89328,12,1,1,0,1.59,0
17.89553,12,1,1,0,1.59,0
17.89825,12,1,1,0,1.59,0
17.90034,12,1,1,0,1.59,0
17.90268,12,1,1,0,1.59,0
17.90476,12,1,1,0,1.59,0
17.90682,12,1,1,0,1.59,0
17.90885,12,1,1,0,1.59,0
17.91088,12,1,1,0,1.59,0
17.91288,12,1,1,0,1.59,0
17.91487,12,1,1,0,1.59,0
